,publication_date,keyword_1,keyword_2,keyword_3
2616,2020-03-15T18:44:09+0000,Coronavirus (2019-nCoV),Cornell University,Colleges and Universities
2617,2020-03-15T09:00:08+0000,Stocks and Bonds,United States Economy,Science and Technology
2618,2020-03-13T23:00:08+0000,"Sanders, Bernard",Democratic Party,Hispanic-Americans
2619,2020-03-13T09:00:33+0000,Social Media,Computers and the Internet,Facebook Inc
2620,2020-03-13T09:00:33+0000,Coronavirus (2019-nCoV),Stocks and Bonds,Personal Finances
2621,2020-03-14T15:54:57+0000,Wireless Communications,Computers and the Internet,AT&T Inc
2622,2020-03-14T01:35:00+0000,Colleges and Universities,Commencement Speeches,Coronavirus (2019-nCoV)
2623,2020-03-14T19:42:17+0000,Census,Coronavirus (2019-nCoV),Homeless Persons
2624,2020-03-14T12:39:51+0000,Coronavirus (2019-nCoV),Apple Inc,Computers and the Internet
2625,2020-03-14T19:55:58+0000,Nursing Homes,Elderly,United States Politics and Government
2626,2020-03-15T09:00:11+0000,International Trade and World Market,United States Economy,Economic Conditions and Trends
2627,2020-03-13T13:00:05+0000,Computers and the Internet,Travel and Vacations,Venture Capital
2628,2020-03-15T23:03:59+0000,Stocks and Bonds,Labor and Jobs,Layoffs and Job Reductions
2629,2020-03-13T17:56:59+0000,"Raka Rasmi, Ni Gusti Ayu",Dancing,Bali (Indonesia)
2630,2020-03-13T09:00:35+0000,Coronavirus (2019-nCoV),Deaths (Fatalities),Epidemics
2631,2020-03-15T22:24:50+0000,Emergency Medical Treatment,Coronavirus (2019-nCoV),Hospitals
2632,2020-03-13T21:52:05+0000,Anxiety and Stress,Fear (Emotion),Coronavirus (2019-nCoV)
2633,2020-03-14T14:21:07+0000,Hong Kong Protests (2019),Coronavirus (2019-nCoV),Quarantines
2634,2020-03-13T14:36:27+0000,Boston Marathon,Running,Boston Athletic Assn
2635,2020-03-13T11:23:57+0000,Coronavirus (2019-nCoV),New York State,New York City
2636,2020-03-14T14:21:07+0000,Hong Kong Protests (2019),Coronavirus (2019-nCoV),Quarantines
2637,2020-03-15T22:24:50+0000,Emergency Medical Treatment,Coronavirus (2019-nCoV),Hospitals
2638,2020-03-14T15:12:08+0000,Coronavirus (2019-nCoV),"Mar-a-Lago (Palm Beach, Fla)","Trump, Donald J"
2639,2020-03-15T23:00:07+0000,Cooking and Cookbooks,Cookware,Coronavirus (2019-nCoV)
2640,2020-03-15T23:09:04+0000,United States Politics and Government,Coronavirus (2019-nCoV),"Trump, Donald J"
2641,2020-03-13T21:52:05+0000,Anxiety and Stress,Fear (Emotion),Coronavirus (2019-nCoV)
2642,2020-03-15T18:20:25+0000,Food,Coronavirus (2019-nCoV),Supermarkets and Grocery Stores
2643,2020-03-14T20:24:37+0000,"Goldsmith, Herb (1927-2020)",Deaths (Obituaries),Members Only (Fashion Label)
2644,2020-03-13T13:37:26+0000,ANTS,Animal Behavior,Scientific Reports (Journal)
2645,2020-03-15T09:59:00+0000,"Brodesser-Akner, Taffy","Hanks, Tom",Coronavirus (2019-nCoV)
2646,2020-03-13T23:41:32+0000,"Trump, Donald J",United States Politics and Government,Coronavirus (2019-nCoV)
2647,2020-03-14T11:00:07+0000,Soccer,English Premier League,Coronavirus (2019-nCoV)
2648,2020-03-14T09:00:18+0000,Women and Girls,Women's Rights,Gender
2649,2020-03-13T23:28:40+0000,Religion-State Relations,Human Rights and Human Rights Violations,Discrimination
2650,2020-03-15T09:00:09+0000,Real Estate and Housing (Residential),Pleasantville (NY),Bayport (NY)
2651,2020-03-14T23:32:48+0000,Drunken and Reckless Driving,Hit-and-Run Drivers,"Murders, Attempted Murders and Homicides"
2652,2020-03-14T19:32:37+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Spain
2653,2020-03-13T04:23:26+0000,Coronavirus (2019-nCoV),Politics and Government,Epidemics
2654,2020-03-13T13:05:12+0000,United States Economy,United States Politics and Government,Layoffs and Job Reductions
2655,2020-03-13T14:53:14+0000,Movies,"Zobel, R Craig",The Hunt (Movie)
2656,2020-03-13T11:20:57+0000,United States Politics and Government,Coronavirus (2019-nCoV),Tests (Medical)
2657,2020-03-13T09:00:34+0000,Restaurants,Music,Travel and Vacations
2658,2020-03-13T16:21:09+0000,Books and Literature,"Leroux, Gaston","Kidd, Jess (1973- )"
2659,2020-03-13T13:06:36+0000,Iraq,Defense and Military Forces,United States Defense and Military Forces
2660,2020-03-13T19:24:43+0000,Coronavirus (2019-nCoV),Quarantines,Politics and Government
2661,2020-03-13T22:45:39+0000,Travel Warnings,Travel and Vacations,Cruises
2662,2020-03-15T12:00:08+0000,Presidential Election of 2020,Debates (Political),Primaries and Caucuses
2663,2020-03-13T16:38:44+0000,Stocks and Bonds,Coronavirus (2019-nCoV),Personal Finances
2664,2020-03-14T14:34:44+0000,Stocks and Bonds,Mutual Funds,"Trump, Donald J"
2665,2020-03-15T18:01:57+0000,Coronavirus (2019-nCoV),United States Economy,Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)
2666,2020-03-14T14:34:44+0000,Stocks and Bonds,Mutual Funds,"Trump, Donald J"
2667,2020-03-15T22:54:12+0000,Basketball,Oklahoma City Thunder,"Gallinari, Danilo"
2668,2020-03-15T23:56:11+0000,Coronavirus (2019-nCoV),Homeless Persons,Elderly
2669,2020-03-15T07:00:04+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
2670,2020-03-15T12:00:08+0000,Presidential Election of 2020,Debates (Political),Primaries and Caucuses
2671,2020-03-15T18:01:57+0000,Coronavirus (2019-nCoV),United States Economy,Dodd-Frank Wall Street Reform and Consumer Protection Act (2010)
2672,2020-03-15T23:17:50+0000,Coronavirus (2019-nCoV),Quarantines,Europe
2673,2020-03-13T09:00:07+0000,Families and Family Life,Drug Abuse and Traffic,Grief (Emotion)
2674,2020-03-15T17:14:20+0000,Politics and Government,Coronavirus (2019-nCoV),Epidemics
2675,2020-03-13T15:00:10+0000,Coronavirus (2019-nCoV),Stocks and Bonds,Income
2676,2020-03-13T09:00:28+0000,ALBANIAN-AMERICANS,Immigration and Emigration,"Arthur Avenue (Bronx, NY)"
2677,2020-03-15T07:00:04+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
2678,2020-03-15T23:56:11+0000,Coronavirus (2019-nCoV),Homeless Persons,Elderly
2679,2020-03-14T18:30:11+0000,Eyes and Eyesight,Disabilities,Blindness
2680,2020-03-13T18:26:13+0000,Classical Music,Opera,Berlin State Opera
2681,2020-03-14T21:26:31+0000,Coronavirus (2019-nCoV),Rural Areas,APPALACHIAN REGION
2682,2020-03-14T17:01:04+0000,Coronavirus (2019-nCoV),Quarantines,Italy
2683,2020-03-13T09:00:07+0000,Families and Family Life,Drug Abuse and Traffic,Grief (Emotion)
2684,2020-03-15T21:02:55+0000,Shutdowns (Institutional),Coronavirus (2019-nCoV),Bars and Nightclubs
2685,2020-03-13T23:10:05+0000,Coronavirus (2019-nCoV),Books and Literature,Epidemics
2686,2020-03-14T20:20:49+0000,United States Politics and Government,Rumors and Misinformation,Coronavirus (2019-nCoV)
2687,2020-03-13T18:26:13+0000,Classical Music,Opera,Berlin State Opera
2688,2020-03-14T18:30:11+0000,Eyes and Eyesight,Disabilities,Blindness
2689,2020-03-15T23:56:11+0000,Coronavirus (2019-nCoV),Homeless Persons,Elderly
2690,2020-03-14T22:13:26+0000,"Trump, Donald J",Coronavirus (2019-nCoV),Tests (Medical)
2691,2020-03-14T18:25:21+0000,"Trump, Donald J","Powell, Jerome H",Federal Reserve System
2692,2020-03-13T09:00:29+0000,Theater,"Audium (San Francisco, Calif)","Shaff, Stan"
2693,2020-03-13T10:00:18+0000,Weddings and Engagements,Marriages,Families and Family Life
2694,2020-03-14T21:57:13+0000,your-feed-science,Coronavirus (2019-nCoV),Nursing Homes
2695,2020-03-15T09:00:28+0000,United States Economy,Coronavirus (2019-nCoV),Recession and Depression
2696,2020-03-15T22:32:30+0000,United States Politics and Government,Coronavirus (2019-nCoV),Rumors and Misinformation
2697,2020-03-14T15:00:08+0000,Black People,Christians and Christianity,Coronavirus (2019-nCoV)
2698,2020-03-14T15:00:07+0000,Race and Ethnicity,United States Politics and Government,Health Insurance and Managed Care
2699,2020-03-15T15:09:02+0000,"Taylor, Eric (1949-2020)",Deaths (Obituaries),Music
2700,2020-03-14T09:00:09+0000,New York City,Coronavirus (2019-nCoV),Second Homes and Non-Primary Residences
2701,2020-03-13T09:00:24+0000,Coronavirus (2019-nCoV),Epidemics,Seattle (Wash)
2702,2020-03-14T19:00:06+0000,Presidential Election of 2020,Black People,"Biden, Joseph R Jr"
2703,2020-03-15T18:15:56+0000,Farmers' Markets,Coronavirus (2019-nCoV),Santa Monica (Calif)
2704,2020-03-14T09:00:10+0000,Bicycles and Bicycling,Coronavirus (2019-nCoV),Citi Bike
2705,2020-03-13T21:04:30+0000,Shutdowns (Institutional),Opera,Coronavirus (2019-nCoV)
2706,2020-03-14T11:00:07+0000,Soccer,English Premier League,Coronavirus (2019-nCoV)
2707,2020-03-14T09:00:18+0000,Women and Girls,Women's Rights,Gender
2708,2020-03-13T23:28:40+0000,Religion-State Relations,Human Rights and Human Rights Violations,Discrimination
2709,2020-03-14T23:32:48+0000,Drunken and Reckless Driving,Hit-and-Run Drivers,"Murders, Attempted Murders and Homicides"
2710,2020-03-14T19:32:37+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Spain
2711,2020-03-13T04:00:07+0000,Love (Emotion),"Same-Sex Marriage, Civil Unions and Domestic Partnerships","Divorce, Separations and Annulments"
2712,2020-03-13T15:38:48+0000,your-feed-science,Opioids and Opiates,AMERISOURCEBERGEN CORP
2713,2020-03-13T09:00:23+0000,Kidnapping and Hostages,United States International Relations,United States Politics and Government
2714,2020-03-13T16:37:40+0000,"Gillum, Andrew",Politics and Government,Miami Beach (Fla)
2715,2020-03-13T09:00:32+0000,Polls and Public Opinion,Coronavirus (2019-nCoV),Presidential Election of 2020
2716,2020-03-14T00:05:21+0000,United States Politics and Government,Constitution (US),Suits and Litigation (Civil)
2717,2020-03-13T04:46:47+0000,Stocks and Bonds,Dow Jones Stock Average,Standard & Poor's 500-Stock Index
2718,2020-03-13T17:31:17+0000,Coronavirus (2019-nCoV),Frauds and Swindling,Dietary Supplements and Herbal Remedies
2719,2020-03-14T13:15:45+0000,Teachers and School Employees,California,Coronavirus (2019-nCoV)
2720,2020-03-13T18:50:20+0000,Coronavirus (2019-nCoV),Democratic Party,House of Representatives
2721,2020-03-13T14:49:51+0000,Movies,The Hunt (Movie),"Zobel, R Craig"
2722,2020-03-14T16:00:03+0000,"Warren, Elizabeth",Presidential Election of 2020,Women and Girls
2723,2020-03-14T07:00:08+0000,Coronavirus (2019-nCoV),Basketball (College),NCAA Basketball Championships (Men)
2724,2020-03-13T18:48:25+0000,Waste Materials and Disposal,Rats,Sidewalks
2725,2020-03-14T07:00:07+0000,Women and Girls,Coronavirus (2019-nCoV),Athletics and Sports
2726,2020-03-14T21:40:05+0000,Crossword Puzzles,"Nediger, Will (Crossword Constructor)","Stark, Nancy (Crossword Constructor)"
2727,2020-03-13T19:01:24+0000,"Redfield, Robert R",Centers for Disease Control and Prevention,Tests (Medical)
2728,2020-03-14T09:00:18+0000,Coronavirus (2019-nCoV),Budgets and Budgeting,States (US)
2729,2020-03-13T18:35:38+0000,Coronavirus (2019-nCoV),Politics and Government,Blue and White (Israeli Political Party)
2730,2020-03-15T09:00:05+0000,Education (Pre-School),Child Care,Children and Childhood
2731,2020-03-15T21:00:28+0000,Federal Reserve System,Coronavirus (2019-nCoV),"Trump, Donald J"
2732,2020-03-13T23:33:56+0000,War and Emergency Powers (US),Coronavirus (2019-nCoV),"Trump, Donald J"
2733,2020-03-14T15:00:07+0000,Race and Ethnicity,United States Politics and Government,Health Insurance and Managed Care
2734,2020-03-15T22:32:30+0000,United States Politics and Government,Coronavirus (2019-nCoV),Rumors and Misinformation
2735,2020-03-14T15:00:08+0000,Black People,Christians and Christianity,Coronavirus (2019-nCoV)
2736,2020-03-13T08:39:01+0000,Art,Black People,Slavery (Historical)
2737,2020-03-13T19:12:12+0000,Global Warming,Greenhouse Gas Emissions,Coronavirus (2019-nCoV)
2738,2020-03-13T22:31:04+0000,Coronavirus (2019-nCoV),Soccer,Wuhan Zall (Soccer Team)
2739,2020-03-13T09:00:17+0000,Coronavirus (2019-nCoV),Epidemics,Aspirin
2740,2020-03-15T14:55:03+0000,Coronavirus (2019-nCoV),Veterans Affairs Department,Veterans Health Administration
2741,2020-03-13T09:00:24+0000,Coronavirus (2019-nCoV),Epidemics,Seattle (Wash)
2742,2020-03-13T18:24:12+0000,Coronavirus (2019-nCoV),Hygiene and Cleanliness,Respiratory Diseases
2743,2020-03-14T09:00:09+0000,New York City,Coronavirus (2019-nCoV),Second Homes and Non-Primary Residences
2744,2020-03-15T15:09:02+0000,"Taylor, Eric (1949-2020)",Deaths (Obituaries),Music
2745,2020-03-14T21:57:13+0000,your-feed-science,Coronavirus (2019-nCoV),Nursing Homes
2746,2020-03-15T13:01:32+0000,ABSENTEE VOTING,Presidential Election of 2020,Primaries and Caucuses
2747,2020-03-13T09:00:35+0000,Epidemics,Coronavirus (2019-nCoV),Shutdowns (Institutional)
2748,2020-03-13T11:00:09+0000,Presidential Election of 2020,Coronavirus (2019-nCoV),Primaries and Caucuses
2749,2020-03-13T01:29:24+0000,Soccer,United States Soccer Federation,United States Women's National Soccer Team
2750,2020-03-13T18:14:44+0000,Love (Emotion),Marriages,Coronavirus (2019-nCoV)
2751,2020-03-15T16:12:56+0000,Coronavirus (2019-nCoV),Quarantines,Shutdowns (Institutional)
2752,2020-03-13T21:53:55+0000,"Wuorinen, Charles",Deaths (Obituaries),Classical Music
2753,2020-03-15T14:20:53+0000,Football,Organized Labor,National Football League
2754,2020-03-13T14:59:44+0000,Private and Sectarian Schools,"St Bernard's School (Manhattan, NY)","Johnson, Stuart H III"
2755,2020-03-15T20:36:48+0000,Coronavirus (2019-nCoV),Movies,National Assn of Theater Owners
2756,2020-03-13T22:11:40+0000,United States Politics and Government,Coronavirus (2019-nCoV),Welfare (US)
2757,2020-03-14T23:18:16+0000,Primaries and Caucuses,States (US),Politics and Government
2758,2020-03-13T15:55:46+0000,China,International Trade and World Market,Protective Clothing and Gear
2759,2020-03-14T22:13:07+0000,Banking and Financial Institutions,Coronavirus (2019-nCoV),High Net Worth Individuals
2760,2020-03-15T16:24:44+0000,Presidential Election of 2020,United States Politics and Government,"Biden, Joseph R Jr"
2761,2020-03-13T22:11:53+0000,"Gates, Bill",Microsoft Corp,Berkshire Hathaway Inc
2762,2020-03-13T19:22:25+0000,Restaurants,Small Business,Chefs
2763,2020-03-13T09:00:33+0000,AIRLINES AND AIRPLANES,"Prices (Fares, Fees and Rates)",Coronavirus (2019-nCoV)
2764,2020-03-13T17:08:50+0000,Real Estate and Housing (Residential),Personal Finances,Coronavirus (2019-nCoV)
2765,2020-03-14T14:00:05+0000,Real Estate and Housing (Residential),Restoration and Renovation,Home Repairs and Improvements
2766,2020-03-15T09:00:15+0000,Coronavirus (2019-nCoV),Quarantines,Federal-State Relations (US)
2767,2020-03-13T14:00:07+0000,Theater,Podcasts,"McKellen, Ian"
2768,2020-03-15T23:01:28+0000,Coronavirus (2019-nCoV),"Cleansers, Detergents and Soaps",Stockpiling
2769,2020-03-13T21:53:55+0000,"Wuorinen, Charles",Deaths (Obituaries),Classical Music
2770,2020-03-13T13:30:08+0000,Real Estate and Housing (Residential),Children and Childhood,Autism
2771,2020-03-15T23:35:14+0000,Religion and Belief,Coronavirus (2019-nCoV),Prayers and Prayer Books
2772,2020-03-13T13:30:08+0000,Real Estate and Housing (Residential),Children and Childhood,Autism
2773,2020-03-13T14:00:05+0000,Cooking and Cookbooks,Restaurants,"Chang, David (Chef)"
2774,2020-03-15T23:01:28+0000,Coronavirus (2019-nCoV),"Cleansers, Detergents and Soaps",Stockpiling
2775,2020-03-13T09:00:11+0000,Blood Pressure,Brain,"AGE, CHRONOLOGICAL"
2776,2020-03-15T14:00:03+0000,Television,"Kazan, Zoe","Ryder, Winona"
2777,2020-03-14T09:00:18+0000,China,News and News Media,Politics and Government
2778,2020-03-13T00:22:26+0000,"Hanks, Tom","Wilson, Rita",Coronavirus (2019-nCoV)
2779,2020-03-13T16:06:39+0000,Civilian Casualties,United States Defense and Military Forces,World War II (1939-45)
2780,2020-03-13T18:03:34+0000,Coronavirus (2019-nCoV),"Trump, Donald J",United States Politics and Government
2781,2020-03-13T09:00:02+0000,Buses,Urban Areas,Transit Systems
2782,2020-03-13T13:36:43+0000,Immigration and Emigration,"Asylum, Right of",European Union
2783,2020-03-13T22:53:24+0000,Coronavirus (2019-nCoV),Education (K-12),Shutdowns (Institutional)
2784,2020-03-13T14:10:39+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Education (K-12)
2785,2020-03-13T18:03:34+0000,Coronavirus (2019-nCoV),"Trump, Donald J",United States Politics and Government
2786,2020-03-14T09:00:21+0000,Presidential Election of 2020,Primaries and Caucuses,Coronavirus (2019-nCoV)
2787,2020-03-13T17:19:41+0000,Mortgages,Real Estate and Housing (Residential),Personal Finances
2788,2020-03-13T09:00:21+0000,Coronavirus (2019-nCoV),Quarantines,Japan
2789,2020-03-14T19:00:07+0000,United States Politics and Government,United States Economy,Interest Rates
2790,2020-03-14T17:57:06+0000,Coronavirus (2019-nCoV),Customer Relations,Theater
2791,2020-03-13T19:29:26+0000,Quarantines,Colleges and Universities,Coronavirus (2019-nCoV)
2792,2020-03-14T14:47:40+0000,Mice,Coronavirus (2019-nCoV),SARS (Severe Acute Respiratory Syndrome)
2793,2020-03-14T12:36:00+0000,Coronavirus (2019-nCoV),New York State,New York City
2794,2020-03-13T09:00:11+0000,Citi Bike,Metro-North Commuter Railroad,Metropolitan Transportation Authority
2795,2020-03-14T00:00:55+0000,Homeless Persons,Coronavirus (2019-nCoV),Quarantines
2796,2020-03-13T22:11:53+0000,"Gates, Bill",Microsoft Corp,Berkshire Hathaway Inc
2797,2020-03-14T05:00:06+0000,Movies,Television,Fast & Furious presents: Hobbs & Shaw (Movie)
2798,2020-03-13T09:00:18+0000,"Smalls, Alexander",Cooking and Cookbooks,"Cecil (Manhattan, NY, Restaurant)"
2799,2020-03-14T09:00:09+0000,Coronavirus (2019-nCoV),New York City,Hospitals
2800,2020-03-14T14:29:43+0000,Guantanamo Bay Naval Base (Cuba),Detainees,Torture
2801,2020-03-14T09:00:07+0000,Magazines,Pop and Rock Music,New York Times
2802,2020-03-13T09:00:46+0000,Boko Haram,Women and Girls,Kidnapping and Hostages
2803,2020-03-14T00:52:43+0000,Coronavirus (2019-nCoV),"Trump, Donald J",United States Politics and Government
2804,2020-03-14T12:00:07+0000,Stadiums and Arenas,NCAA Basketball Championships (Men),Assn of Tennis Professionals
2805,2020-03-13T19:54:29+0000,Budget Travel,Coronavirus (2019-nCoV),Travel and Vacations
2806,2020-03-13T18:14:44+0000,Love (Emotion),Marriages,Coronavirus (2019-nCoV)
2807,2020-03-13T15:18:34+0000,"Zatopkova, Dana",Deaths (Obituaries),Track and Field
2808,2020-03-15T09:00:30+0000,Bars and Nightclubs,Small Business,"Lower East Side (Manhattan, NY)"
2809,2020-03-15T23:41:07+0000,Presidential Election of 2020,Debates (Political),"Biden, Joseph R Jr"
2810,2020-03-13T14:00:05+0000,Cooking and Cookbooks,Restaurants,"Chang, David (Chef)"
2811,2020-03-14T22:13:07+0000,Banking and Financial Institutions,Coronavirus (2019-nCoV),High Net Worth Individuals
2812,2020-03-15T16:24:44+0000,Presidential Election of 2020,United States Politics and Government,"Biden, Joseph R Jr"
2813,2020-03-15T18:40:17+0000,Movies,Blumhouse Productions,Bona Film Group Ltd
2814,2020-03-13T09:00:19+0000,Theater,Coronavirus (2019-nCoV),Writing and Writers
2815,2020-03-13T09:00:30+0000,Coronavirus (2019-nCoV),Epidemics,Quarantines
2816,2020-03-14T15:54:23+0000,Coronavirus (2019-nCoV),Paid Time Off,Fast Food Industry
2817,2020-03-15T09:00:01+0000,Coronavirus (2019-nCoV),Paid Time Off,Labor and Jobs
2818,2020-03-13T12:40:44+0000,Coronavirus (2019-nCoV),United States International Relations,Propaganda
2819,2020-03-14T20:40:32+0000,Coronavirus (2019-nCoV),Bars and Nightclubs,Epidemics
2820,2020-03-13T22:25:19+0000,Coronavirus (2019-nCoV),Quarantines,Politics and Government
2821,2020-03-13T22:11:40+0000,United States Politics and Government,Coronavirus (2019-nCoV),Welfare (US)
2822,2020-03-14T23:18:16+0000,Primaries and Caucuses,States (US),Politics and Government
2823,2020-03-13T15:55:46+0000,China,International Trade and World Market,Protective Clothing and Gear
2824,2020-03-14T09:00:18+0000,China,News and News Media,Politics and Government
2825,2020-03-13T09:00:11+0000,Blood Pressure,Brain,"AGE, CHRONOLOGICAL"
2826,2020-03-14T19:19:27+0000,Tigers,Endangered and Extinct Species,Paleontology
2827,2020-03-13T21:55:46+0000,Television,Gourmet Makes (TV Program),Joe Pera Talks With You (TV Program)
2828,2020-03-14T02:17:19+0000,Coronavirus (2019-nCoV),News and News Media,Television
2829,2020-03-15T12:21:44+0000,Oil (Petroleum) and Gasoline,"Prices (Fares, Fees and Rates)",Company Reports
2830,2020-03-15T02:00:53+0000,"Trump, Donald J","Kushner, Jared",Verily Life Sciences LLC
2831,2020-03-15T20:51:17+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Paris (France)
2832,2020-03-15T21:40:02+0000,Crossword Puzzles,"Cee, Gary (Crossword Constructor)","Redford, Robert"
2833,2020-03-15T21:18:16+0000,Coronavirus (2019-nCoV),Catalonia (Spain),Spain
2834,2020-03-16T11:30:16+0000,Banking and Financial Institutions,Coronavirus (2019-nCoV),Paid Time Off
2835,2020-03-15T09:00:05+0000,"Lisicky, Paul (1959- )",Books and Literature,Writing and Writers
2836,2020-03-15T22:46:49+0000,Drownings,Hudson River,"Flores, Manny"
2837,2020-03-15T15:42:59+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Quarantines
2838,2020-03-15T14:40:36+0000,Colleges and Universities,Coronavirus (2019-nCoV),ADMISSIONS STANDARDS
2839,2020-03-17T12:47:07+0000,Soccer,UEFA European Football Championship,Europe
2840,2020-03-16T02:45:36+0000,Coronavirus (2019-nCoV),Epidemics,Quarantines
2841,2020-03-17T05:00:05+0000,Coronavirus (2019-nCoV),Germany,Europe
2842,2020-03-17T20:28:14+0000,Presidential Election of 2020,United States,Elections
2843,2020-03-16T09:00:22+0000,T-Shirts (Apparel),Abstinence (Sexual),YouTube.com
2844,2020-03-17T18:36:35+0000,"Asylum, Right of",Immigration and Emigration,Guatemala
2845,2020-03-16T20:23:03+0000,Presidential Election of 2020,"Biden, Joseph R Jr","Sanders, Bernard"
2846,2020-03-16T09:00:04+0000,Books and Literature,Beheld (Book),"Nesbit, TaraShea"
2847,2020-03-17T22:36:17+0000,Automobiles,United States Economy,Fiat Chrysler Automobiles NV
2848,2020-03-16T20:45:32+0000,Wines,ALCOHOLIC BEVERAGES,ALCOHOL ABUSE
2849,2020-03-17T23:19:18+0000,Immigration Detention,Illegal Immigration,"Asylum, Right of"
2850,2020-03-17T19:27:38+0000,Coronavirus (2019-nCoV),Epidemics,"Trump, Donald J"
2851,2020-03-17T13:00:14+0000,Lancaster County (Pa),AMISH,Mennonite Churches
2852,2020-03-17T21:00:12+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
2853,2020-03-16T23:00:07+0000,Epidemics,Recession and Depression,Coronavirus (2019-nCoV)
2854,2020-03-17T20:28:12+0000,Elections,Presidential Election of 2020,Primaries and Caucuses
2855,2020-03-17T09:00:24+0000,Presidential Election of 2020,United States Politics and Government,Coronavirus (2019-nCoV)
2856,2020-03-17T17:46:50+0000,Television,Little Fires Everywhere (TV Program),Hulu.com
2857,2020-03-15T18:49:17+0000,"BYARS, BETSY",Deaths (Obituaries),Books and Literature
2858,2020-03-16T20:45:32+0000,Wines,ALCOHOLIC BEVERAGES,ALCOHOL ABUSE
2859,2020-03-17T05:00:05+0000,Coronavirus (2019-nCoV),Germany,Europe
2860,2020-03-16T02:45:36+0000,Coronavirus (2019-nCoV),Epidemics,Quarantines
2861,2020-03-17T13:00:14+0000,Lancaster County (Pa),AMISH,Mennonite Churches
2862,2020-03-17T17:46:50+0000,Television,Little Fires Everywhere (TV Program),Hulu.com
2863,2020-03-17T19:27:38+0000,Coronavirus (2019-nCoV),Epidemics,"Trump, Donald J"
2864,2020-03-17T20:28:14+0000,Presidential Election of 2020,United States,Elections
2865,2020-03-17T23:19:18+0000,Immigration Detention,Illegal Immigration,"Asylum, Right of"
2866,2020-03-17T09:00:25+0000,Books and Literature,"When I Hit You: Or, a Portrait of the Writer As a Young Wife (Book)","Kandasamy, Meena"
2867,2020-03-16T22:28:39+0000,Theater,Coronavirus (2019-nCoV),Politics and Government
2868,2020-03-16T23:28:29+0000,Coronavirus (2019-nCoV),British Museum,"Johnson, Boris"
2869,2020-03-17T09:00:19+0000,Primaries and Caucuses,Coronavirus (2019-nCoV),Elections
2870,2020-03-17T20:13:29+0000,Documentary Films and Programs,Television,Netflix Inc
2871,2020-03-16T20:51:43+0000,Quarantines,Coronavirus (2019-nCoV),Text Messaging
2872,2020-03-15T15:53:30+0000,Movies,Coronavirus (2019-nCoV),AMC Entertainment Holding Inc.
2873,2020-03-17T17:34:37+0000,Cruises,Travel and Vacations,Coronavirus (2019-nCoV)
2874,2020-03-16T23:28:29+0000,Coronavirus (2019-nCoV),British Museum,"Johnson, Boris"
2875,2020-03-17T01:49:52+0000,"Murders, Attempted Murders and Homicides",Bay Area Rapid Transit,"Cowell, John Lee"
2876,2020-03-16T09:00:01+0000,The Dairy Restaurant (Book),Books and Literature,Jews and Judaism
2877,2020-03-17T11:00:06+0000,Mortgages,Interest Rates,Credit and Debt
2878,2020-03-16T22:40:23+0000,Russian Interference in 2016 US Elections and Ties to Trump Associates,Cyberwarfare and Defense,Justice Department
2879,2020-03-16T17:34:37+0000,AIRLINES AND AIRPLANES,Travel Warnings,Travel and Vacations
2880,2020-03-17T09:00:19+0000,Primaries and Caucuses,Coronavirus (2019-nCoV),Elections
2881,2020-03-17T09:00:21+0000,Computers and the Internet,Social Media,Birthdays
2882,2020-03-16T13:00:24+0000,Real Estate and Housing (Residential),California,Beverly Hills (Calif)
2883,2020-03-17T20:56:39+0000,Unemployment Insurance,Part-Time Employment,Unemployment
2884,2020-03-17T20:24:09+0000,Coronavirus (2019-nCoV),Shutdowns (Institutional),Quarantines
2885,2020-03-16T09:00:11+0000,Coronavirus (2019-nCoV),Prisons and Prisoners,Shutdowns (Institutional)
2886,2020-03-16T13:00:24+0000,Real Estate and Housing (Residential),California,Beverly Hills (Calif)
2887,2020-03-17T01:49:52+0000,"Murders, Attempted Murders and Homicides",Bay Area Rapid Transit,"Cowell, John Lee"
2888,2020-03-16T19:07:17+0000,United States Politics and Government,States (US),Elections
2889,2020-03-16T23:04:55+0000,Presidential Election of 2020,"Sanders, Bernard",Primaries and Caucuses
2890,2020-03-16T22:40:23+0000,Russian Interference in 2016 US Elections and Ties to Trump Associates,Cyberwarfare and Defense,Justice Department
2891,2020-03-16T09:00:01+0000,The Dairy Restaurant (Book),Books and Literature,Jews and Judaism
2892,2020-03-17T11:00:06+0000,Mortgages,Interest Rates,Credit and Debt
2893,2020-03-15T15:53:30+0000,Movies,Coronavirus (2019-nCoV),AMC Entertainment Holding Inc.
2894,2020-03-16T23:00:07+0000,Epidemics,Recession and Depression,Coronavirus (2019-nCoV)
2895,2020-03-17T20:13:29+0000,Documentary Films and Programs,Television,Netflix Inc
2896,2020-03-16T20:51:43+0000,Quarantines,Coronavirus (2019-nCoV),Text Messaging
